Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
F3D0_S188_L001_R1_001	90.48536209553158	54.0	210.8061119671289	231	36.36363636363637	7788.0
F3D141_S207_L001_R1_001	90.73359073359073	54.0	211.4743998657042	231	36.36363636363637	5957.0
F3D142_S208_L001_R1_001	87.9359095193214	54.0	212.4655984919887	231	36.36363636363637	3183.0
F3D143_S209_L001_R1_001	88.64065449968534	54.0	212.29043423536817	231	36.36363636363637	3178.0
F3D144_S210_L001_R1_001	89.11691542288557	54.0	207.59266169154228	231	36.36363636363637	4824.0
F3D145_S211_L001_R1_001	91.5909399159094	54.0	211.6942899769429	231	36.36363636363637	7373.0
F3D146_S212_L001_R1_001	88.90217174736003	54.0	209.8828451882845	231	36.36363636363637	5019.0
F3D147_S213_L001_R1_001	93.30247275284191	54.0	212.77669049572248	231	36.36363636363637	17066.0
F3D148_S214_L001_R1_001	92.56271678631927	54.0	211.93425828829555	231	36.36363636363637	12397.0
F3D149_S215_L001_R1_001	92.52064851636587	54.0	211.2958091159376	231	36.36363636363637	13076.0
F3D150_S216_L001_R1_001	88.99582349736698	54.0	211.4011258398402	231	36.36363636363637	5507.0
F3D1_S189_L001_R1_001	88.5480572597137	54.0	207.82430129516018	231	36.36363636363637	5868.0
F3D2_S190_L001_R1_001	93.45332177637282	53.0	213.00254932952635	231	36.36363636363637	19613.0
F3D3_S191_L001_R1_001	91.23612139156181	52.0	212.32657290895634	231	36.36363636363637	6755.0
F3D5_S193_L001_R1_001	88.84390463337832	54.0	210.05330634278002	231	36.36363636363637	4446.0
F3D6_S194_L001_R1_001	90.99561678146524	53.0	212.42667501565435	231	36.36363636363637	7985.0
F3D7_S195_L001_R1_001	90.6554818571986	53.0	213.77565353101835	231	36.36363636363637	5126.0
F3D8_S196_L001_R1_001	88.89308651303362	53.0	210.4784661881375	231	36.36363636363637	5294.0
F3D9_S197_L001_R1_001	90.66213921901527	53.0	213.11361063950199	231	36.36363636363637	7068.0
